year,gas,value,unit,lat,station
1934,cc4f8,3.7769166666666665e-07,ppt,-40.6833,Cape Grim
1934,c4f10,3.192e-07,ppt,-40.6833,Cape Grim
1934,c5f12,2.6553333333333334e-07,ppt,-40.6833,Cape Grim
1934,c6f14,2.2781666666666667e-07,ppt,-40.6833,Cape Grim
1934,c7f16,1.9963333333333334e-07,ppt,-40.6833,Cape Grim
1935,cc4f8,2.5138333333333334e-06,ppt,-40.6833,Cape Grim
1935,c4f10,2.1138333333333334e-06,ppt,-40.6833,Cape Grim
1935,c5f12,1.748e-06,ppt,-40.6833,Cape Grim
1935,c6f14,1.4919166666666668e-06,ppt,-40.6833,Cape Grim
1935,c7f16,1.3009166666666666e-06,ppt,-40.6833,Cape Grim
1936,cc4f8,5.36125e-06,ppt,-40.6833,Cape Grim
1936,c4f10,4.507416666666667e-06,ppt,-40.6833,Cape Grim
1936,c5f12,3.7264166666666667e-06,ppt,-40.6833,Cape Grim
1936,c6f14,3.1772500000000004e-06,ppt,-40.6833,Cape Grim
1936,c7f16,2.7674166666666667e-06,ppt,-40.6833,Cape Grim
1937,cc4f8,8.29375e-06,ppt,-40.6833,Cape Grim
1937,c4f10,6.9705000000000004e-06,ppt,-40.6833,Cape Grim
1937,c5f12,5.761666666666667e-06,ppt,-40.6833,Cape Grim
1937,c6f14,4.910833333333333e-06,ppt,-40.6833,Cape Grim
1937,c7f16,4.280333333333333e-06,ppt,-40.6833,Cape Grim
1938,cc4f8,1.123425e-05,ppt,-40.6833,Cape Grim
1938,c4f10,9.442e-06,ppt,-40.6833,Cape Grim
1938,c5f12,7.804583333333333e-06,ppt,-40.6833,Cape Grim
1938,c6f14,6.650833333333333e-06,ppt,-40.6833,Cape Grim
1938,c7f16,5.7955e-06,ppt,-40.6833,Cape Grim
1939,cc4f8,1.41745e-05,ppt,-40.6833,Cape Grim
1939,c4f10,1.1913333333333333e-05,ppt,-40.6833,Cape Grim
1939,c5f12,9.846583333333333e-06,ppt,-40.6833,Cape Grim
1939,c6f14,8.390833333333333e-06,ppt,-40.6833,Cape Grim
1939,c7f16,7.312416666666667e-06,ppt,-40.6833,Cape Grim
1940,cc4f8,1.7114583333333334e-05,ppt,-40.6833,Cape Grim
1940,c4f10,1.4384166666666665e-05,ppt,-40.6833,Cape Grim
1940,c5f12,1.1888333333333333e-05,ppt,-40.6833,Cape Grim
1940,c6f14,1.0131166666666667e-05,ppt,-40.6833,Cape Grim
1940,c7f16,8.827e-06,ppt,-40.6833,Cape Grim
1941,cc4f8,2.0054250000000002e-05,ppt,-40.6833,Cape Grim
1941,c4f10,1.685416666666667e-05,ppt,-40.6833,Cape Grim
1941,c5f12,1.392975e-05,ppt,-40.6833,Cape Grim
1941,c6f14,1.1870416666666666e-05,ppt,-40.6833,Cape Grim
1941,c7f16,1.034225e-05,ppt,-40.6833,Cape Grim
1942,cc4f8,2.299275e-05,ppt,-40.6833,Cape Grim
1942,c4f10,1.9323666666666666e-05,ppt,-40.6833,Cape Grim
1942,c5f12,1.5970500000000002e-05,ppt,-40.6833,Cape Grim
1942,c6f14,1.3609333333333334e-05,ppt,-40.6833,Cape Grim
1942,c7f16,1.1856916666666667e-05,ppt,-40.6833,Cape Grim
1943,cc4f8,2.5930833333333333e-05,ppt,-40.6833,Cape Grim
1943,c4f10,2.1792500000000002e-05,ppt,-40.6833,Cape Grim
1943,c5f12,1.801075e-05,ppt,-40.6833,Cape Grim
1943,c6f14,1.5347833333333332e-05,ppt,-40.6833,Cape Grim
1943,c7f16,1.3371166666666667e-05,ppt,-40.6833,Cape Grim
1944,cc4f8,2.88685e-05,ppt,-40.6833,Cape Grim
1944,c4f10,2.4261333333333334e-05,ppt,-40.6833,Cape Grim
1944,c5f12,2.00505e-05,ppt,-40.6833,Cape Grim
1944,c6f14,1.7085916666666665e-05,ppt,-40.6833,Cape Grim
1944,c7f16,1.4885416666666667e-05,ppt,-40.6833,Cape Grim
1945,cc4f8,3.1805083333333335e-05,ppt,-40.6833,Cape Grim
1945,c4f10,2.6728999999999998e-05,ppt,-40.6833,Cape Grim
1945,c5f12,2.2090333333333334e-05,ppt,-40.6833,Cape Grim
1945,c6f14,1.8823583333333334e-05,ppt,-40.6833,Cape Grim
1945,c7f16,1.6399083333333334e-05,ppt,-40.6833,Cape Grim
1946,cc4f8,3.4741e-05,ppt,-40.6833,Cape Grim
1946,c4f10,2.919625e-05,ppt,-40.6833,Cape Grim
1946,c5f12,2.4129083333333332e-05,ppt,-40.6833,Cape Grim
1946,c6f14,2.056075e-05,ppt,-40.6833,Cape Grim
1946,c7f16,1.7912583333333335e-05,ppt,-40.6833,Cape Grim
1947,cc4f8,3.76765e-05,ppt,-40.6833,Cape Grim
1947,c4f10,3.1663166666666665e-05,ppt,-40.6833,Cape Grim
1947,c5f12,2.616741666666667e-05,ppt,-40.6833,Cape Grim
1947,c6f14,2.2297833333333335e-05,ppt,-40.6833,Cape Grim
1947,c7f16,1.942575e-05,ppt,-40.6833,Cape Grim
1948,cc4f8,4.061116666666667e-05,ppt,-40.6833,Cape Grim
1948,c4f10,3.41295e-05,ppt,-40.6833,Cape Grim
1948,c5f12,2.8205583333333333e-05,ppt,-40.6833,Cape Grim
1948,c6f14,2.403433333333333e-05,ppt,-40.6833,Cape Grim
1948,c7f16,2.0938333333333332e-05,ppt,-40.6833,Cape Grim
1949,cc4f8,4.3545166666666664e-05,ppt,-40.6833,Cape Grim
1949,c4f10,3.6595083333333335e-05,ppt,-40.6833,Cape Grim
1949,c5f12,3.0243083333333332e-05,ppt,-40.6833,Cape Grim
1949,c6f14,2.57705e-05,ppt,-40.6833,Cape Grim
1949,c7f16,2.2450750000000002e-05,ppt,-40.6833,Cape Grim
1950,cc4f8,4.64785e-05,ppt,-40.6833,Cape Grim
1950,c4f10,3.906008333333333e-05,ppt,-40.6833,Cape Grim
1950,c5f12,3.228025e-05,ppt,-40.6833,Cape Grim
1950,c6f14,2.7506249999999998e-05,ppt,-40.6833,Cape Grim
1950,c7f16,2.3962583333333333e-05,ppt,-40.6833,Cape Grim
1951,cc4f8,4.941116666666667e-05,ppt,-40.6833,Cape Grim
1951,c4f10,4.1524500000000005e-05,ppt,-40.6833,Cape Grim
1951,c5f12,3.4316833333333337e-05,ppt,-40.6833,Cape Grim
1951,c6f14,2.9241333333333334e-05,ppt,-40.6833,Cape Grim
1951,c7f16,2.5474416666666668e-05,ppt,-40.6833,Cape Grim
1952,cc4f8,5.234325e-05,ppt,-40.6833,Cape Grim
1952,c4f10,4.398858333333333e-05,ppt,-40.6833,Cape Grim
1952,c5f12,3.635275e-05,ppt,-40.6833,Cape Grim
1952,c6f14,3.097625e-05,ppt,-40.6833,Cape Grim
1952,c7f16,2.6985499999999998e-05,ppt,-40.6833,Cape Grim
1953,cc4f8,0.00023891775,ppt,-40.6833,Cape Grim
1953,c4f10,4.6451833333333335e-05,ppt,-40.6833,Cape Grim
1953,c5f12,3.838858333333333e-05,ppt,-40.6833,Cape Grim
1953,c6f14,3.271091666666667e-05,ppt,-40.6833,Cape Grim
1953,c7f16,2.849658333333333e-05,ppt,-40.6833,Cape Grim
1954,cc4f8,0.0015652866666666665,ppt,-40.6833,Cape Grim
1954,c4f10,4.8914416666666664e-05,ppt,-40.6833,Cape Grim
1954,c5f12,4.0423666666666664e-05,ppt,-40.6833,Cape Grim
1954,c6f14,3.4445e-05,ppt,-40.6833,Cape Grim
1954,c7f16,3.0007333333333333e-05,ppt,-40.6833,Cape Grim
1955,cc4f8,0.004705275,ppt,-40.6833,Cape Grim
1955,c4f10,5.1376583333333335e-05,ppt,-40.6833,Cape Grim
1955,c5f12,4.245833333333333e-05,ppt,-40.6833,Cape Grim
1955,c6f14,3.617875e-05,ppt,-40.6833,Cape Grim
1955,c7f16,5.0301666666666666e-05,ppt,-40.6833,Cape Grim
1956,cc4f8,0.009593233333333335,ppt,-40.6833,Cape Grim
1956,c4f10,5.383833333333333e-05,ppt,-40.6833,Cape Grim
1956,c5f12,4.4492499999999995e-05,ppt,-40.6833,Cape Grim
1956,c6f14,3.7912e-05,ppt,-40.6833,Cape Grim
1956,c7f16,0.00017977333333333334,ppt,-40.6833,Cape Grim
1957,cc4f8,0.01578925,ppt,-40.6833,Cape Grim
1957,c4f10,5.629941666666667e-05,ppt,-40.6833,Cape Grim
1957,c5f12,4.6526333333333336e-05,ppt,-40.6833,Cape Grim
1957,c6f14,3.964491666666667e-05,ppt,-40.6833,Cape Grim
1957,c7f16,0.0004746458333333334,ppt,-40.6833,Cape Grim
1958,cc4f8,0.022930500000000003,ppt,-40.6833,Cape Grim
1958,c4f10,5.876000000000001e-05,ppt,-40.6833,Cape Grim
1958,c5f12,4.855975e-05,ppt,-40.6833,Cape Grim
1958,c6f14,4.137716666666666e-05,ppt,-40.6833,Cape Grim
1958,c7f16,0.0009927275,ppt,-40.6833,Cape Grim
1959,cc4f8,0.030714083333333333,ppt,-40.6833,Cape Grim
1959,c4f10,6.121958333333334e-05,ppt,-40.6833,Cape Grim
1959,c5f12,5.0592333333333334e-05,ppt,-40.6833,Cape Grim
1959,c6f14,4.310933333333334e-05,ppt,-40.6833,Cape Grim
1959,c7f16,0.0015889916666666666,ppt,-40.6833,Cape Grim
1960,cc4f8,0.03888175,ppt,-40.6833,Cape Grim
1960,c4f10,6.3679e-05,ppt,-40.6833,Cape Grim
1960,c5f12,7.000683333333334e-05,ppt,-40.6833,Cape Grim
1960,c6f14,4.484116666666667e-05,ppt,-40.6833,Cape Grim
1960,c7f16,0.002194383333333333,ppt,-40.6833,Cape Grim
1961,cc4f8,0.04735291666666667,ppt,-40.6833,Cape Grim
1961,c4f10,6.613791666666667e-05,ppt,-40.6833,Cape Grim
1961,c5f12,0.00018593333333333334,ppt,-40.6833,Cape Grim
1961,c6f14,4.657241666666667e-05,ppt,-40.6833,Cape Grim
1961,c7f16,0.002800658333333333,ppt,-40.6833,Cape Grim
1962,cc4f8,0.05611758333333333,ppt,-40.6833,Cape Grim
1962,c4f10,6.859625e-05,ppt,-40.6833,Cape Grim
1962,c5f12,0.00040832166666666665,ppt,-40.6833,Cape Grim
1962,c6f14,4.830333333333333e-05,ppt,-40.6833,Cape Grim
1962,c7f16,0.0034091583333333334,ppt,-40.6833,Cape Grim
1963,cc4f8,0.06521116666666667,ppt,-40.6833,Cape Grim
1963,c4f10,7.105366666666667e-05,ppt,-40.6833,Cape Grim
1963,c5f12,0.0007192166666666667,ppt,-40.6833,Cape Grim
1963,c6f14,5.0033750000000005e-05,ppt,-40.6833,Cape Grim
1963,c7f16,0.004035675,ppt,-40.6833,Cape Grim
1964,cc4f8,0.07481091666666667,ppt,-40.6833,Cape Grim
1964,c4f10,7.351083333333333e-05,ppt,-40.6833,Cape Grim
1964,c5f12,0.0011151133333333334,ppt,-40.6833,Cape Grim
1964,c6f14,5.1763833333333334e-05,ppt,-40.6833,Cape Grim
1964,c7f16,0.004705824999999999,ppt,-40.6833,Cape Grim
1965,cc4f8,0.08498741666666666,ppt,-40.6833,Cape Grim
1965,c4f10,7.596733333333333e-05,ppt,-40.6833,Cape Grim
1965,c5f12,0.0016050666666666668,ppt,-40.6833,Cape Grim
1965,c6f14,7.077416666666666e-05,ppt,-40.6833,Cape Grim
1965,c7f16,0.0054130666666666665,ppt,-40.6833,Cape Grim
1966,cc4f8,0.09578541666666666,ppt,-40.6833,Cape Grim
1966,c4f10,7.842325e-05,ppt,-40.6833,Cape Grim
1966,c5f12,0.002184225,ppt,-40.6833,Cape Grim
1966,c6f14,0.00017278166666666667,ppt,-40.6833,Cape Grim
1966,c7f16,0.006131058333333334,ppt,-40.6833,Cape Grim
1967,cc4f8,0.1074575,ppt,-40.6833,Cape Grim
1967,c4f10,8.087866666666668e-05,ppt,-40.6833,Cape Grim
1967,c5f12,0.002860408333333333,ppt,-40.6833,Cape Grim
1967,c6f14,0.00030821916666666667,ppt,-40.6833,Cape Grim
1967,c7f16,0.00685015,ppt,-40.6833,Cape Grim
1968,cc4f8,0.12042666666666667,ppt,-40.6833,Cape Grim
1968,c4f10,8.333358333333333e-05,ppt,-40.6833,Cape Grim
1968,c5f12,0.0036405916666666666,ppt,-40.6833,Cape Grim
1968,c6f14,0.0004475891666666667,ppt,-40.6833,Cape Grim
1968,c7f16,0.007569233333333334,ppt,-40.6833,Cape Grim
1969,cc4f8,0.13484583333333333,ppt,-40.6833,Cape Grim
1969,c4f10,8.578783333333333e-05,ppt,-40.6833,Cape Grim
1969,c5f12,0.004537558333333333,ppt,-40.6833,Cape Grim
1969,c6f14,0.0005990958333333333,ppt,-40.6833,Cape Grim
1969,c7f16,0.00828815,ppt,-40.6833,Cape Grim
1970,cc4f8,0.15073166666666668,ppt,-40.6833,Cape Grim
