year,HFC-32,HFC-125,HFC-134a,HFC-143a,HFC-152a,HFC-227ea,HFC-236fa,HFC-245fa,HFC-365mfc,HFC-43-10mee
1990,0,0,0.02,0.48,0,0,0,0,0,0
1991,0,0,0.1,0.53,0,0,0,0,0,0
1992,0.01,0,0.3,0.56,0.25,0,0,0,0,0
1993,0.03,0.03,0.6,0.6,0.47,0,0,0,0,0
1994,0.05,0.08,1,0.66,0.75,0,0,0,0,0
1995,0.08,0.13,1.72,0.75,0.97,0,0,0,0,0
1996,0.1,0.28,2.85,0.92,1.08,0.01,0,0,0,0
1997,0.12,0.48,4.6,1.14,1.18,0.03,0.01,0,0,0
1998,0.14,0.84,6.6,1.45,1.37,0.04,0.01,0,0,0
1999,0.17,1.13,9.57,1.82,1.59,0.06,0.02,0,0,0
2000,0.22,1.38,12.81,2.23,1.76,0.07,0.02,0,0,0
2001,0.28,1.75,16.23,2.7,1.98,0.1,0.03,0,0,0
2002,0.37,2.15,19.82,3.28,2.22,0.12,0.03,0,0,0
2003,0.5,2.62,23.83,3.92,2.62,0.16,0.04,0.03,0.01,0
2004,0.71,3.18,28.1,4.59,3.03,0.2,0.04,0.09,0.04,0
2005,1.03,3.77,32.54,5.32,3.46,0.25,0.05,0.25,0.13,0.02
2006,1.4,4.41,36.86,6.16,4.09,0.31,0.06,0.47,0.22,0.05
2007,1.87,5.18,41.13,7.11,4.88,0.37,0.06,0.71,0.31,0.07
2008,2.42,6.08,45.71,8.1,5.58,0.44,0.07,0.92,0.4,0.09
2009,2.99,7.12,50.39,9.19,5.94,0.51,0.08,1.1,0.47,0.12
2010,3.66,8.26,55.19,10.3,6.13,0.59,0.09,1.26,0.54,0.14
2011,4.63,9.66,60.35,11.48,6.49,0.67,0.1,1.43,0.6,0.16
2012,5.71,11.25,65.27,12.73,6.76,0.76,0.11,1.61,0.66,0.18
2013,6.9,13.03,70.21,14.07,6.82,0.85,0.12,1.79,0.73,0.19
2014,8.22,15,75.24,15.46,6.73,0.95,0.13,1.97,0.8,0.21
2015,9.81,17.21,80.62,16.93,6.69,1.05,0.14,2.15,0.87,0.22
2016,11.61,19.58,86.33,18.5,6.7,1.16,0.15,2.34,0.94,0.23
2017,13.84,22.22,92.52,20.17,6.78,1.28,0.16,2.54,1,0.24
2018,16.67,25.22,98.78,21.84,6.95,1.41,0.17,2.75,1.06,0.25
2019,19.78,28.34,104.62,23.45,7.1,1.55,0.19,2.95,1.11,0.26
2020,22.9,31.52,110.23,25.06,7.22,1.69,0.2,3.13,1.15,0.27
2021,27.08,35.32,118.75,26.88,7.54,1.85,0.21,3.33,1.21,0.28
2022,31.61,39.45,126.75,28.78,7.79,2.02,0.22,3.53,1.26,0.28
2023,36.44,43.88,134.4,30.71,7.86,2.19,0.24,3.74,1.31,0.29
2024,41.54,48.62,141.9,32.68,7.96,2.36,0.25,3.95,1.37,0.29
