Year,HCFC-22,HCFC-141b,HCFC-142b
1955,1.0,0.0,0.0
1956,1.12,0.0,0.0
1957,1.26,0.0,0.0
1958,1.45,0.0,0.0
1959,1.74,0.0,0.0
1960,2.07,0.0,0.0
1961,2.43,0.0,0.0
1962,2.87,0.0,0.0
1963,3.42,0.0,0.0
1964,4.12,0.0,0.0
1965,4.92,0.0,0.0
1966,5.91,0.0,0.0
1967,7.09,0.0,0.0
1968,8.53,0.0,0.0
1969,10.29,0.0,0.0
1970,12.12,0.0,0.0
1971,14.1,0.0,0.0
1972,16.19,0.0,0.05
1973,18.59,0.0,0.09
1974,21.28,0.0,0.14
1975,23.79,0.0,0.18
1976,26.64,0.06,0.31
1977,29.81,0.12,0.43
1978,33.21,0.18,0.56
1979,34.73,0.25,0.69
1980,38.86,0.25,0.77
1981,42.99,0.26,0.82
1982,47.0,0.27,0.85
1983,50.79,0.26,0.84
1984,54.64,0.25,0.9
1985,59.02,0.26,0.96
1986,64.87,0.29,0.97
1987,70.01,0.3,1.0
1988,73.64,0.3,1.02
1989,79.44,0.28,1.15
1990,86.13,0.27,1.42
1991,92.59,0.25,2.0
1992,98.8,0.21,2.81
1993,103.42,0.46,3.92
1994,108.39,1.33,5.09
1995,113.57,2.74,6.22
1996,119.32,4.51,7.29
1997,124.27,6.47,8.42
1998,129.19,8.24,9.42
1999,134.44,10.15,10.43
2000,139.45,11.87,11.48
2001,145.18,13.52,12.49
2002,150.81,14.83,13.33
2003,155.84,16.13,13.97
2004,160.81,17.07,14.6
2005,166.08,17.55,15.19
2006,172.18,17.89,15.93
2007,179.47,18.49,16.98
2008,187.59,19.07,18.15
2009,195.39,19.62,19.28
2010,202.57,20.14,20.08
2011,210.14,20.88,20.85
2012,216.1,21.91,21.48
2013,221.58,22.87,21.87
2014,226.71,23.54,22.1
2015,231.67,24.09,22.17
2016,235.55,24.39,22.25
2017,239.5,24.56,22.33
2018,242.84,24.44,22.33
2019,245.53,24.36,22.27
2020,247.58,24.47,22.11
2021,248.55,24.58,21.88
2022,249.14,24.66,21.63
2023,248.17,24.56,21.35
2024,248.26,24.57,21.29
2025,247.92,24.55,21.22
2026,247.23,24.53,21.15
2027,245.88,24.46,21.07
2028,243.99,24.37,20.98
2029,241.64,24.25,20.89
2030,238.93,24.1,20.78
2031,235.91,23.94,20.67
2032,232.06,23.71,20.54
2033,227.53,23.44,20.39
2034,222.43,23.11,20.22
2035,216.89,22.76,20.04
2036,211.01,22.37,19.85
2037,204.87,21.96,19.64
2038,198.55,21.53,19.43
2039,192.11,21.08,19.2
2040,185.61,20.62,18.97
2041,179.11,20.16,18.74
2042,172.58,19.68,18.5
2043,166.08,19.2,18.25
2044,159.63,18.71,18.0
2045,153.27,18.23,17.74
2046,147.03,17.74,17.48
2047,140.92,17.26,17.22
2048,134.97,16.77,16.96
2049,129.18,16.3,16.7
2050,123.56,15.83,16.44
2051,118.12,15.37,16.18
2052,112.88,14.91,15.92
2053,107.82,14.47,15.66
2054,102.96,14.03,15.4
2055,98.3,13.6,15.15
2056,93.82,13.18,14.89
2057,89.54,12.77,14.64
2058,85.45,12.37,14.4
2059,81.54,11.98,14.15
2060,77.81,11.6,13.91
2061,74.26,11.23,13.68
2062,70.88,10.87,13.44
2063,67.66,10.52,13.21
2064,64.61,10.18,12.99
2065,61.71,9.85,12.77
2066,58.96,9.53,12.55
2067,56.35,9.22,12.33
2068,53.88,8.92,12.13
2069,51.55,8.63,11.92
2070,49.34,8.34,11.72
2071,47.25,8.07,11.52
2072,45.28,7.8,11.33
2073,43.41,7.54,11.14
2074,41.65,7.29,10.96
2075,39.99,7.05,10.78
2076,38.43,6.81,10.6
2077,36.96,6.59,10.43
2078,35.57,6.37,10.26
2079,34.26,6.15,10.1
2080,33.03,5.95,9.94
2081,31.87,5.75,9.79
2082,30.78,5.55,9.64
2083,29.76,5.37,9.49
2084,28.8,5.19,9.35
2085,27.89,5.01,9.21
2086,27.04,4.84,9.07
2087,26.25,4.68,8.94
2088,25.5,4.52,8.81
2089,24.8,4.37,8.68
2090,24.14,4.22,8.56
2091,23.52,4.08,8.44
2092,22.94,3.94,8.33
2093,22.4,3.81,8.22
2094,21.89,3.68,8.11
2095,21.41,3.56,8.0
2096,20.96,3.44,7.9
2097,20.54,3.32,7.8
2098,20.15,3.21,7.7
2099,19.79,3.1,7.61
2100,19.44,2.99,7.52
